method,agieval_lsat_ar,arc_challenge,arc_easy,coqa,gsm8k,hellaswag,jeopardy,lambada_openai,mbpp,mmlu,piqa,social_iqa,squadv2,winogrande,average
olmo_3_1125_32b@step400000,0.21739130434782608,0.6510238907849829,0.8686868686868687,0.8046096009497032,0.6072782410917361,0.8209520015933081,0.6474,0.4907820686978459,0.4781875,0.6830516342162276,0.809575625680087,0.47850562947799385,0.8779842363847871,0.7940015785319653,0.6592450128888094
olmo_3_1025_7b@step1473419,0.21739130434782608,0.5964163822525598,0.8699494949494949,0.860767247929498,0.7589082638362395,0.7611033658633738,0.5289,0.456821269163594,0.48160000000000003,0.6801439635916409,0.794885745375408,0.5491299897645855,0.9347368207981664,0.7261247040252565,0.6583484679926889
olmo_3_1025_7b,0.21304347826086956,0.5947098976109215,0.8686868686868687,0.8610822446985277,0.7543593631539045,0.761202947619996,0.53,0.4575975160100912,0.47659999999999997,0.6811615677398553,0.794341675734494,0.5475946775844421,0.9351444406868822,0.7261247040252565,0.6572606701294365
olmo_3_1025_7b@step1472498,0.2,0.591296928327645,0.8686868686868687,0.8657631811209917,0.7581501137225171,0.7608046205935073,0.5331,0.45565689889384825,0.48,0.6787033416217145,0.795429815016322,0.5429887410440123,0.9316367308165698,0.7245461720599842,0.65619738656457
apertus_70b@step900000,0.1826086956521739,0.6356655290102389,0.8640572390572391,0.8246270385761206,0.5655799848369977,0.852320254929297,0.7029,0.4927226858140889,0.3466875,0.695727213869025,0.8498367791077258,0.4866939611054248,0.8828657316132044,0.7908445146014207,0.6552240805837826
olmo_hybrid_7b@step1461762,0.26521739130434785,0.6254266211604096,0.8695286195286195,0.6165585937522384,0.7467778620166793,0.752638916550488,0.5652,0.5883951096448671,0.4722,0.7097450523505717,0.8133841131664853,0.4759467758444217,0.9166781170320681,0.7482241515390686,0.6547086659921618
olmo_hybrid_7b@step1457920,0.28695652173913044,0.6160409556313993,0.8653198653198653,0.6502412867453563,0.7285822592873389,0.7501493726349333,0.5563,0.5878129245099942,0.4712,0.7072133259417392,0.8079434167573449,0.48157625383828045,0.9117203118474485,0.7403314917127072,0.6543848561403955
olmo_hybrid_7b@step1460920,0.27391304347826084,0.6203071672354948,0.8657407407407407,0.6148444331021959,0.7460197119029568,0.7515435172276439,0.5658,0.587036677663497,0.4796,0.7084582361134629,0.8150163220892275,0.47236438075742065,0.9159051213079846,0.7434885556432518,0.6542884219472956
olmo_hybrid_7b_ingredient2@step1429078,0.24782608695652175,0.6109215017064846,0.8615319865319865,0.7495182899550323,0.7475360121304018,0.7540330611431986,0.5168,0.5860663691053755,0.452,0.6921831309557502,0.8079434167573449,0.515353121801433,0.8953062694634206,0.7205998421468035,0.6541156491895538
olmo_hybrid_7b,0.2608695652173913,0.6228668941979523,0.8691077441077442,0.6179574980849385,0.7422289613343442,0.7515435172276439,0.5659,0.5880069862216185,0.4714,0.7096361768534698,0.8122959738846572,0.4759467758444217,0.916188517728261,0.7482241515390686,0.6537266258743936
